RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
251072,Lakeside,San Francisco,CA,San Francisco,San Francisco,4479,1251300,1302900,1352200,1389100,1409700,1429300,1445900,1443100,1424500,1411500,1407500,1403900,1394400,1386600,1389300,1388400,1382900,1372000,1359600,1354000,1363300,1384600,1416500,1434700,1431900,1434300,1453700,1473900,1489800,1510800,1530600,1550400,1585100,1608200,1619100,1631200,1642400
416178,College Terrace,Palo Alto,CA,San Jose,Santa Clara,4480,1919000,1947200,1984100,2048200,2111800,2151000,2175800,2196400,2242400,2304500,2335300,2334200,2344500,2361800,2375500,2366500,2325200,2285200,2256600,2228200,2214200,2228700,2251000,2272600,2291500,2316800,2370000,2446600,2506400,2555100,2635100,2704000,2733700,2770400,2847000,2937200,3013400
268182,Golden Gate,Oakland,CA,San Francisco,Alameda,4485,583000,594900,604200,612900,623600,631600,637200,645200,653700,660500,669800,679300,687300,694800,699500,704200,708700,711100,712900,718700,724800,728800,728900,729900,737300,752100,764600,772000,776700,784300,792400,795800,798800,812300,832700,850700,862200
343612,Evergreen Park,Palo Alto,CA,San Jose,Santa Clara,4504,1114300,1138100,1157800,1169400,1178500,1191300,1199400,1207700,1215300,1218200,1218000,1220500,1225300,1231900,1263800,1328600,1371400,1341300,1282800,1248200,1241100,1239600,1235800,1237300,1249000,1279500,1320200,1337200,1327300,1338600,1392300,1454800,1501200,1548000,1606300,1654000,1681000
417526,Central Waterfront - Dogpatch,San Francisco,CA,San Francisco,San Francisco,4508,968600,990500,1014500,1035300,1052400,1069400,1086900,1097400,1100500,1106600,1120700,1136900,1154800,1170900,1176800,1171200,1167300,1162900,1154800,1147100,1144000,1145800,1154600,1157700,1146000,1136400,1142000,1154700,1164000,1173900,1177900,1175600,1175200,1180000,1191700,1197600,1190600
268511,Swanston Estates,Sacramento,CA,Sacramento,Sacramento,4515,169000,174200,178200,182300,186100,189300,191900,194200,195600,197000,198300,199900,201800,203500,204500,205900,208300,210500,212200,214400,217300,218900,218600,217300,216100,216600,218400,219200,221300,225900,229200,231200,234000,239000,243000,245900,248000
416972,Aragon,San Mateo,CA,San Francisco,San Mateo,4520,1433400,1449700,1469200,1495800,1521000,1540900,1552100,1566100,1579800,1596300,1616800,1641200,1665300,1683500,1689700,1683100,1668600,1656200,1656100,1661700,1667700,1669300,1661800,1658300,1669100,1680000,1691600,1715500,1742400,1748200,1749800,1772900,1802800,1820200,1847500,1880900,1899200
273846,Oak Knoll-Golf Links,Oakland,CA,San Francisco,Alameda,4532,475700,480000,489100,499700,513400,528200,540400,549700,561100,573000,580300,578500,575800,581400,596500,609500,614100,611100,611700,617800,620900,619700,620400,621300,624200,632400,642000,648400,654800,665200,675200,681800,688500,696000,705700,719800,732300
416980,Sunnybrae,San Mateo,CA,San Francisco,San Mateo,4552,923300,938200,958400,979700,998900,1011400,1017600,1024400,1030700,1033100,1034900,1038900,1048600,1059200,1066000,1070500,1080200,1089000,1094300,1098100,1101100,1100600,1098200,1103700,1119600,1137600,1153800,1171300,1188600,1207400,1225800,1243800,1262600,1289500,1320700,1350900,1369100
276207,Belevedere,San Bernardino,CA,Riverside,San Bernardino,4564,243200,246600,248300,250000,251900,252900,254100,254900,255400,256300,257000,256700,257900,259500,261400,264400,268300,273700,278300,279000,279900,282800,283800,284600,287400,292300,297300,299000,299000,301000,303500,306700,309800,311700,316100,322300,325900
417494,Ingleside Terrace,San Francisco,CA,San Francisco,San Francisco,4604,1443600,1456200,1492500,1538500,1578800,1607900,1626400,1628900,1618200,1616400,1626300,1642800,1659800,1670800,1672000,1661700,1643100,1622400,1610900,1606900,1612800,1631700,1665800,1691900,1694700,1694400,1712900,1747600,1777200,1797800,1802200,1801400,1812100,1830200,1854200,1884800,1906000
416976,Northwest Hillsdale,San Mateo,CA,San Francisco,San Mateo,4627,1249200,1273900,1301100,1328100,1350800,1368800,1383800,1393500,1391800,1388300,1389000,1389900,1397300,1405500,1406000,1401700,1397200,1387900,1380900,1379400,1385900,1393500,1397800,1406500,1422500,1432700,1440600,1457100,1476500,1495100,1519900,1548700,1572700,1588300,1612300,1651300,1681600
268085,Colonial Heights,Sacramento,CA,Sacramento,Sacramento,4635,194100,195300,198300,202500,206600,210000,212400,215300,219400,222500,223600,225500,227900,230100,232400,234800,236900,241000,244000,242700,241300,244300,248900,253900,259400,264900,269400,273800,276900,277200,274400,272700,272100,274400,279000,285900,292100
698713,Lorelei Manor,Menlo Park,CA,San Francisco,San Mateo,4650,1342900,1366500,1395200,1416600,1438800,1465100,1496800,1528900,1548900,1558400,1572800,1588600,1599200,1604600,1614300,1635800,1642500,1616900,1591200,1579800,1564800,1546800,1535100,1548900,1590900,1621000,1621700,1633400,1669600,1692100,1689300,1702000,1724000,1775300,1867500,1958900,1990500
416991,Fiesta Gardens,San Mateo,CA,San Francisco,San Mateo,4669,952100,974400,997800,1024700,1053900,1072100,1086400,1099300,1111500,1120500,1120900,1115100,1115800,1133300,1144900,1150800,1164400,1183100,1189900,1196700,1200300,1190200,1173300,1162500,1162400,1167000,1176300,1186900,1200000,1215400,1230400,1244100,1257400,1276200,1307900,1354100,1391600
276145,Woodminster,Oakland,CA,San Francisco,Alameda,4673,824500,838400,855800,874000,891700,906100,915800,924900,935200,943700,948900,956300,969500,982800,984700,974700,962000,954600,953500,959500,967600,971400,967400,963400,969700,984000,996500,1006200,1016800,1029400,1042000,1047900,1048800,1056700,1084700,1124700,1152300
343619,Jordan Jr. Hgh School,Palo Alto,CA,San Jose,Santa Clara,4678,3113000,3162700,3197200,3233000,3265400,3321200,3406300,3450300,3466000,3493600,3517600,3526200,3567600,3618700,3654200,3661400,3636200,3592800,3581900,3634900,3705000,3769400,3795600,3795300,3789000,3791300,3797800,3840800,3888100,3919200,3954400,4002300,4053800,4144100,4297100,4456300,4544800
417509,Mount Davidson Manor,San Francisco,CA,San Francisco,San Francisco,4697,1140000,1159100,1177200,1198200,1228500,1258700,1281000,1306000,1323800,1331200,1333000,1329400,1319800,1317400,1326500,1331200,1326700,1318700,1311400,1308700,1314200,1329000,1358600,1389700,1406200,1419200,1441900,1471500,1491000,1502200,1509500,1518400,1533100,1560500,1594200,1629100,1652900
274490,Medical Center,Sacramento,CA,Sacramento,Sacramento,4706,267500,270000,276900,280000,281500,285700,290200,294000,298400,299900,298800,301200,307800,313000,316900,320500,323100,327100,335600,344800,350100,348600,346300,348100,352400,355900,359300,365100,372800,378600,379800,378300,373300,372400,375300,375100,370700
268582,West Davis Manor,Davis,CA,Sacramento,Yolo,4721,641100,642100,649300,658700,665700,667000,666600,668600,670600,673800,679600,683900,685800,689700,690200,688700,690200,696200,702300,710000,718000,721100,719800,716700,716600,715400,714600,718900,723300,721400,721600,721700,719800,719500,722700,733400,746800
416175,Adobe Meadow - Meadow Park,Palo Alto,CA,San Jose,Santa Clara,4768,2177500,2206900,2246300,2277600,2293500,2311500,2340600,2368900,2381900,2379700,2364300,2347500,2353600,2374200,2380700,2370100,2358400,2333700,2292100,2259000,2252100,2260300,2274000,2300000,2342100,2381100,2408400,2441300,2471200,2490500,2512100,2546400,2589300,2660000,2739200,2804700,2842800
276656,Westlake,Sacramento,CA,Sacramento,Sacramento,4828,349200,349800,352900,354900,355800,357800,364300,371300,375100,377500,382200,385500,386500,387000,388700,393700,401100,406300,406100,406000,409500,414300,417000,417600,416000,413600,412600,413700,417200,421400,423900,423900,424100,427600,430000,431300,434800
698715,Linfield Oaks,Menlo Park,CA,San Francisco,San Mateo,4841,1904800,1929200,1956600,1986400,2017900,2046500,2080600,2127200,2152200,2160700,2173700,2205000,2250900,2292900,2306300,2302400,2291300,2280700,2263200,2229400,2193200,2170400,2147300,2135600,2133800,2132100,2133900,2149400,2166500,2176700,2188000,2202700,2222800,2255500,2313400,2387500,2442000
268506,Stonegate,Davis,CA,Sacramento,Yolo,4849,618500,616700,622500,632600,636700,631300,624200,622300,624300,627400,634800,642300,644700,643500,644200,648000,653400,659400,663700,667000,667200,666300,666600,668000,670400,669900,669500,675900,683900,682400,682200,684100,685100,687100,689400,686800,683400
273830,Glen Highlands,Oakland,CA,San Francisco,Alameda,4854,1109800,1127800,1147100,1157900,1170000,1198000,1229500,1251400,1259600,1258900,1260400,1271700,1280700,1289700,1289300,1283000,1274700,1269300,1264100,1259400,1257600,1259400,1261900,1269300,1290200,1320500,1348300,1366500,1379300,1390200,1399400,1408000,1418300,1443700,1486500,1518200,1525400
416993,Country Club Heights,San Mateo,CA,San Francisco,San Mateo,4916,1344800,1358100,1373100,1390300,1408700,1425300,1441700,1453100,1451500,1444000,1439900,1442400,1459700,1480800,1495900,1499600,1493100,1482000,1481000,1487100,1495300,1500100,1497200,1504800,1526600,1546400,1560900,1590300,1633600,1674400,1708300,1750400,1794000,1819800,1841700,1868500,1884600
