RegionID,RegionName,City,State,Metro,CountyName,No of bedrooms,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
268544,Upper Rockridge,Oakland,CA,San Francisco,Alameda,4,1628800,1654900,1684500,1719300,1755600,1775700,1774400,1779500,1794600,1797100,1787000,1779700,1778200,1776700,1776200,1768000,1757300,1756200,1768600,1784900,1801500,1801400,1793900,1793600,1806100,1822000,1835300,1852000,1872900,1889400,1899400,1915000,1932200,1982700,2065800,2136000,2161900
268279,Maxwell Park,Oakland,CA,San Francisco,Alameda,4,518000,521600,528700,538200,550000,561800,572600,583500,594400,601100,606300,613300,621500,628000,634800,641500,648300,652600,656500,664000,673600,679400,684300,692600,705400,717100,721600,722700,726200,729600,729200,727600,726800,731000,741000,754200,765100
623420,Raynor,Sunnyvale,CA,San Jose,Santa Clara,4,1382500,1404200,1431200,1465000,1501700,1534700,1552000,1561000,1568100,1570600,1569800,1568000,1574700,1595900,1614800,1608400,1581800,1552300,1530900,1519400,1521400,1534200,1549000,1566400,1596300,1628000,1662100,1702500,1737200,1765200,1796800,1833400,1877800,1930100,1989300,2046800,2084100
268174,Gateway West,Sacramento,CA,Sacramento,Sacramento,4,316700,319500,324400,327500,328300,330100,333500,336700,338800,341100,343800,346800,350500,353500,355500,357900,360800,363600,366900,370600,373600,376600,380100,381800,380700,380900,382900,385300,388300,392100,394400,395000,396100,397000,397200,398700,402000
268239,La Morada,Stockton,CA,Stockton,San Joaquin,4,284600,287300,289900,293400,297300,301100,303200,303500,302600,302000,302100,301800,301300,302000,304500,307700,311000,314000,316600,318900,321600,324400,327000,329000,330900,334400,338600,340800,342700,345600,348800,351500,353800,354600,356800,360700,363900
275886,Vineyards-Avalon,Fremont,CA,San Francisco,Alameda,4,1866400,1901400,1928800,1933200,1921100,1913000,1914700,1910500,1903300,1900600,1901600,1910300,1925500,1943500,1952400,1945500,1928000,1920800,1924800,1941600,1962200,1974800,1982500,1996900,2016300,2037300,2049200,2054000,2064900,2081100,2074000,2060000,2064900,2094100,2131100,2166100,2185800
273232,Cherry-Guardino,Fremont,CA,San Francisco,Alameda,4,776400,788700,807400,827000,840200,850100,858600,864100,867500,872300,877800,884800,895200,904700,906900,902900,898400,897000,896600,896000,897500,903100,907700,907800,910600,919800,929700,937200,947000,951100,948900,951300,964200,974200,984100,1001000,1018900
273951,Hayward Highland,Hayward,CA,San Francisco,Alameda,4,836400,850600,864800,875100,885700,892500,891000,886900,887600,890200,893400,894500,892500,890300,890200,892100,890500,883900,878300,880000,882600,884700,886900,892900,898400,904200,909200,908200,904100,908000,919600,931300,943700,954400,967000,978900,987100
753708,Baywood,San Mateo,CA,San Francisco,San Mateo,4,2313200,2359300,2416500,2452000,2475500,2494800,2504300,2519500,2530600,2530800,2551500,2589900,2618500,2644100,2678100,2708000,2711200,2696400,2684300,2682100,2673700,2639900,2582000,2547200,2544300,2555600,2563900,2570800,2581400,2611700,2645600,2671100,2689900,2732900,2804300,2895800,2960400
273836,Glenview,Oakland,CA,San Francisco,Alameda,4,855600,870400,889300,902100,907600,908800,906500,909100,925100,945200,958200,970700,985200,996000,1002700,1005000,1001000,996400,998000,1005200,1012800,1015100,1009400,999700,995300,1006900,1023200,1029000,1028500,1034700,1046400,1056600,1065000,1078200,1110600,1158500,1193900
268416,Prescott,Oakland,CA,San Francisco,Alameda,4,473000,480200,489300,499700,514000,531400,544500,549700,555100,560700,565300,568700,573000,577900,586300,594600,599300,599200,602100,611100,622500,636500,659600,686100,706300,721600,728300,724500,723800,733600,736100,728100,725500,727200,728600,734300,743200
115216,Fruitridge Manor,Sacramento,CA,Sacramento,Sacramento,4,183300,181400,181800,183500,185300,188100,192200,195400,197100,198700,200500,204400,210200,215400,218200,220500,222200,223300,224100,224900,225700,226300,226100,227400,232000,239200,246200,250400,251400,252600,254300,255100,255600,257200,258900,258700,257300
416989,San Mateo Village,San Mateo,CA,San Francisco,San Mateo,4,1009400,1023200,1040700,1061700,1091300,1129200,1166400,1196800,1220600,1240500,1250100,1252600,1261000,1283200,1304900,1316800,1317100,1310400,1309500,1323200,1337800,1343400,1349900,1361700,1376000,1382500,1382600,1389700,1413900,1442000,1473200,1499000,1520100,1527700,1542100,1570100,1597900
274246,Lakeshore,San Francisco,CA,San Francisco,San Francisco,4,1163200,1181000,1210900,1234500,1246200,1266100,1298700,1324700,1336700,1344800,1355100,1366500,1379300,1394600,1406800,1408800,1404500,1391300,1375300,1369200,1370900,1377000,1392700,1412900,1423500,1435100,1456400,1478700,1499200,1523200,1543600,1553100,1567900,1570400,1564700,1561600,1566100
268060,Central Oak Park,Sacramento,CA,Sacramento,Sacramento,4,199300,195400,191300,190100,192900,196500,202300,205900,207500,209000,212100,215500,220800,227900,233000,234600,234400,237300,240100,239400,239500,243400,247000,250300,253700,256900,260100,262500,262400,262000,261800,264400,266800,269200,271800,275700,278200
276062,Whitman-Mocine,Hayward,CA,San Francisco,Alameda,4,501900,509600,515400,520000,524800,529300,536100,543200,548900,551000,553800,557000,559200,562200,566500,571500,574900,577700,582400,590900,596900,599700,600300,602500,610100,621800,630900,636500,640800,646800,652600,658300,667300,676800,688900,704800,716500
268579,Weibel,Fremont,CA,San Francisco,Alameda,4,1337900,1361800,1390400,1415800,1437800,1451200,1443100,1426400,1424000,1433500,1446000,1465600,1491700,1512400,1522100,1519600,1512800,1509400,1518000,1538100,1559700,1569000,1572200,1578300,1592100,1607000,1618300,1621600,1616200,1611000,1615000,1611400,1596700,1615000,1667400,1708900,1722000
268559,Village 11,Sacramento,CA,Sacramento,Sacramento,4,317700,321100,324500,326800,329200,331500,333400,336300,339300,341300,340800,339000,339600,341900,343000,344500,347400,350200,352000,353200,355400,359700,365100,370100,374500,379200,385000,390700,394600,396300,395600,394800,395400,397900,399200,398900,399200
115447,Hagginwood,Sacramento,CA,Sacramento,Sacramento,4,189400,186100,185600,186100,186600,189300,194300,199000,202700,205600,210000,214800,218200,221300,223400,222200,220500,220200,221000,221600,222800,225200,227700,231000,236700,242600,247100,251200,253500,254100,255000,255700,256000,256900,256400,257100,260400
275827,Upper B Street,Hayward,CA,San Francisco,Alameda,4,555800,564300,576000,585100,592300,594500,594700,596400,600700,606000,613000,618700,622000,624900,628400,630900,632500,636400,643300,650200,656200,659800,661200,661700,664300,673700,684700,691800,697600,704700,709700,714200,721100,730100,742300,753000,759400
417495,Parnassus - Ashbury,San Francisco,CA,San Francisco,San Francisco,4,2410300,2485700,2570700,2631100,2689900,2771900,2824300,2860500,2927300,2977500,2974500,3004500,3066700,3093300,3110700,3116000,3073400,3026300,2996100,2961400,2952900,2997800,3074600,3127100,3132500,3078400,3032000,3015100,2997100,2980600,3002600,3013500,3007800,3023600,3082300,3132700,3139200
417515,Inner Parkside,San Francisco,CA,San Francisco,San Francisco,4,1364300,1384800,1411600,1432300,1451600,1470900,1480100,1469000,1449500,1440000,1440800,1444800,1451900,1461700,1469500,1469600,1470900,1468500,1458700,1449300,1447500,1453600,1471200,1495400,1511500,1522000,1542400,1568200,1582500,1591700,1603700,1617900,1640100,1659400,1683600,1699600,1696500
273092,Burbank,Hayward,CA,San Francisco,Alameda,4,533200,541500,550500,557800,565200,573600,582700,590700,596300,600900,605700,610700,615600,619600,623600,628200,630700,630500,630000,632700,638600,645100,650300,654000,659200,667800,676800,681900,684700,686300,688600,694500,703900,712900,720900,728000,733400
268565,Village 9,Sacramento,CA,Sacramento,Sacramento,4,351800,354900,359400,362900,366200,370200,373200,376500,380100,383000,384700,385900,386700,387600,389400,391700,393600,394000,394100,395500,398300,401100,404600,408500,411400,413800,416200,419100,423200,428000,431400,433100,434000,435100,434700,435100,438100
268490,South Oak Park,Sacramento,CA,Sacramento,Sacramento,4,165700,166000,166000,166700,168700,172400,176900,180500,182000,182800,184500,188300,191700,194100,197200,201600,205800,208700,210800,212400,215100,218500,221800,224200,225400,225500,225000,224900,225900,227800,230100,232300,233900,233000,234400,239400,244200
268248,Lakes and Birds,Fremont,CA,San Francisco,Alameda,4,837100,849000,863800,874100,882100,893900,908600,919400,923200,924300,923600,927500,938000,948700,952000,948500,941400,935700,936000,939800,942800,942000,940600,939600,942800,949700,959400,969900,978400,982300,985700,990400,993400,1002800,1020400,1037600,1048600
268483,Southeast Village,Sacramento,CA,Sacramento,Sacramento,4,204700,204300,207300,210700,215000,220100,224800,228200,231200,234200,237900,241500,244300,247000,251600,255800,259600,263900,267900,270400,273200,277200,282200,285400,286200,287800,291200,294200,296300,297500,299900,302600,303400,304700,307300,308400,309000
